source,geneTarget,signatureName,PMID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),MYLK,140.138.144.141/~RegPhos/download/RegPhos,20861316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),P73,140.138.144.141/~RegPhos/download/RegPhos,10391251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PLS4,140.138.144.141/~RegPhos/download/RegPhos,14757045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PLS4,140.138.144.141/~RegPhos/download/RegPhos,14757045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PPIP1,140.138.144.141/~RegPhos/download/RegPhos,11163214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PSA7,140.138.144.141/~RegPhos/download/RegPhos,16678104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PTN6,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),PTN6,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAD51,140.138.144.141/~RegPhos/download/RegPhos,9461559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAD51,140.138.144.141/~RegPhos/download/RegPhos,10212258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAD52,140.138.144.141/~RegPhos/download/RegPhos,14757045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAD9A,140.138.144.141/~RegPhos/download/RegPhos,11971963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAPH1,140.138.144.141/~RegPhos/download/RegPhos,20417104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAPH1,140.138.144.141/~RegPhos/download/RegPhos,20417104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RAPH1,140.138.144.141/~RegPhos/download/RegPhos,20417104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),RIN1,140.138.144.141/~RegPhos/download/RegPhos,15886098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),TOP1,140.138.144.141/~RegPhos/download/RegPhos,15448168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),WASF2,140.138.144.141/~RegPhos/download/RegPhos,15657136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),WASF3,140.138.144.141/~RegPhos/download/RegPhos,17623672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),WASF3,140.138.144.141/~RegPhos/download/RegPhos,17623672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),WASF3,140.138.144.141/~RegPhos/download/RegPhos,17623672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),WASF3,140.138.144.141/~RegPhos/download/RegPhos,17623672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1(Abl),YAP1,140.138.144.141/~RegPhos/download/RegPhos,18280240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL2(ARG),CATA,140.138.144.141/~RegPhos/download/RegPhos,18083107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL2(ARG),CATA,140.138.144.141/~RegPhos/download/RegPhos,12777400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL2(ARG),GPX1,140.138.144.141/~RegPhos/download/RegPhos,12893824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL2(ARG),PSA7,140.138.144.141/~RegPhos/download/RegPhos,16678104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL2(ARG),RHG35,140.138.144.141/~RegPhos/download/RegPhos,15592455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL2(ARG),SIVA,140.138.144.141/~RegPhos/download/RegPhos,11278261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACK,ACK1,140.138.144.141/~RegPhos/download/RegPhos,16472662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACK,AKT1,140.138.144.141/~RegPhos/download/RegPhos,20333297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACK,ANDR,140.138.144.141/~RegPhos/download/RegPhos,17045208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACK,WASL,140.138.144.141/~RegPhos/download/RegPhos,16257963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACK,WASL,140.138.144.141/~RegPhos/download/RegPhos,16257963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACK,WWOX,140.138.144.141/~RegPhos/download/RegPhos,16288044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,1433Z,140.138.144.141/~RegPhos/download/RegPhos,11956222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,ACAP1,140.138.144.141/~RegPhos/download/RegPhos,16256741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,ACINU,140.138.144.141/~RegPhos/download/RegPhos,17016429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,AKTS1,140.138.144.141/~RegPhos/download/RegPhos,12524439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,BAD,140.138.144.141/~RegPhos/download/RegPhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,CDN1A,140.138.144.141/~RegPhos/download/RegPhos,10753973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,CDN1B,140.138.144.141/~RegPhos/download/RegPhos,12244301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,CDN1B,140.138.144.141/~RegPhos/download/RegPhos,12042314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,CDN1B,140.138.144.141/~RegPhos/download/RegPhos,12042314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,CLK2,140.138.144.141/~RegPhos/download/RegPhos,20682768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,CLK2,140.138.144.141/~RegPhos/download/RegPhos,20682768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,CREB1,140.138.144.141/~RegPhos/download/RegPhos,7608156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,DNMT1,140.138.144.141/~RegPhos/download/RegPhos,21151116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,DNMT1,140.138.144.141/~RegPhos/download/RegPhos,21151116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
