miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)				
MIRT734190	hsa-miR-9-3p	Homo sapiens	ABCB1	5243	Homo sapiens	Luciferase reporter assay	Functional MTI	28260112				
MIRT734219	hsa-miR-495-3p	Homo sapiens	ABCB1	5243	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28411377				
MIRT734566	hsa-miR-873-5p	Homo sapiens	ABCB1	5243	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26850595				
MIRT006901	hsa-miR-33a-5p	Homo sapiens	ABCB11	8647	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	22767443				
MIRT734383	hsa-miR-522-5p	Homo sapiens	ABCB5	340273	Homo sapiens	Flow//GFP reporter assay//qRT-PCR//Western blot	Functional MTI	26043974				
MIRT437432	hsa-miR-31-5p	Homo sapiens	ABCB9	23457	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24099915				
MIRT733625	hsa-miR-24-3p	Homo sapiens	ABCB9	23457	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27895747				
MIRT003198	hsa-miR-345-5p	Homo sapiens	ABCC1	4363	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20099276				
MIRT003199	hsa-miR-7-5p	Homo sapiens	ABCC1	4363	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20099276				
MIRT003199	hsa-miR-7-5p	Homo sapiens	ABCC1	4363	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR	Functional MTI	26108539				
MIRT004494	hsa-miR-134-5p	Homo sapiens	ABCC1	4363	Homo sapiens	qRT-PCR//Western blot//Northern blot	Functional MTI	20371173				
MIRT021440	hsa-miR-9-5p	Homo sapiens	ABCC1	4363	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28098912				
MIRT053213	hsa-miR-1291	Homo sapiens	ABCC1	4363	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23686318				
MIRT706010	hsa-miR-145-5p	Homo sapiens	ABCC1	4363	Homo sapiens	Luciferase reporter assay	Functional MTI	25354783				
MIRT731994	hsa-miR-490-3p	Homo sapiens	ABCC2	1244	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28386339				
MIRT054153	hsa-miR-129-5p	Homo sapiens	ABCC5	10057	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	25344911				
MIRT004713	hsa-miR-203a-3p	Homo sapiens	ABCE1	6059	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19843643				
MIRT732118	hsa-miR-299-3p	Homo sapiens	ABCE1	6059	Homo sapiens	Luciferase reporter assay	Functional MTI	26617714				
MIRT054154	hsa-miR-129-5p	Homo sapiens	ABCG1	9619	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	25344911				
MIRT054228	hsa-miR-128-3p	Homo sapiens	ABCG1	9619	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23990020				
MIRT000081	hsa-miR-328-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay	Western blot	qRT-PCR	Other	Functional MTI	19270061	
MIRT000081	hsa-miR-328-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	21219875				
MIRT000081	hsa-miR-328-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22453125				
MIRT000998	hsa-miR-519c-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Western blot//Luciferase reporter assay//qRT-PCR	Functional MTI	18573883				
MIRT000998	hsa-miR-519c-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay	Functional MTI	19825807				
MIRT000998	hsa-miR-519c-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Immunoblot//Luciferase reporter assay//qRT-PCR	Functional MTI	21219875				
MIRT001952	hsa-miR-520h	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//Microarray	Functional MTI	18189265				
MIRT001952	hsa-miR-520h	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay	Functional MTI	19825807				
MIRT001952	hsa-miR-520h	Homo sapiens	ABCG2	9429	Homo sapiens	qRT-PCR//Western blot	Functional MTI	20628378				
MIRT437399	hsa-miR-181a-5p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23780685				
MIRT437871	hsa-miR-142-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23619912				
MIRT438649	hsa-miR-487a-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23879965				
MIRT733347	hsa-miR-222-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	26517090				
MIRT733390	hsa-miR-212-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay	Functional MTI	25766675				
MIRT733728	hsa-miR-320a	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	28008607				
MIRT733729	hsa-miR-4496	Homo sapiens	ABCG2	9429	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	28008607				
MIRT733696	hsa-miR-185-5p	Homo sapiens	ABCG4	64137	Homo sapiens	Luciferase reporter assay	Functional MTI	27816548				
MIRT021539	hsa-miR-145-5p	Homo sapiens	ABHD17C	58489	Homo sapiens	Reporter assay	Microarray	Functional MTI	21351259			
MIRT003032	hsa-miR-203a-3p	Homo sapiens	ABL1	25	Homo sapiens	Luciferase reporter assay	Functional MTI	18538733				
MIRT003032	hsa-miR-203a-3p	Homo sapiens	ABL1	25	Homo sapiens	Immunoprecipitaion//qRT-PCR//Western blot	Functional MTI	23462723				
MIRT003032	hsa-miR-203a-3p	Homo sapiens	ABL1	25	Homo sapiens	qRT-PCR//Western blot	Functional MTI	23968727				
MIRT007197	hsa-miR-29a-3p	Homo sapiens	ABL1	25	Homo sapiens	Luciferase reporter assay	Functional MTI	23428668				
MIRT007359	hsa-miR-30a-5p	Homo sapiens	ABL1	25	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	23287430				
MIRT053063	hsa-miR-4723-5p	Homo sapiens	ABL1	25	Homo sapiens	Flow//Immunohistochemistry//Luciferase reporter assay//Western blot	Functional MTI	24223753				
MIRT054860	hsa-miR-20a-5p	Homo sapiens	ABL2	27	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24464651				
MIRT732714	hsa-miR-125a-5p	Homo sapiens	ABL2	27	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26766902				
MIRT734520	hsa-miR-628-5p	Homo sapiens	ABRA	137735	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27739650				
MIRT021534	hsa-miR-145-5p	Homo sapiens	ABRACL	58527	Homo sapiens	Reporter assay	Microarray	Functional MTI	21351259			
MIRT006910	hsa-miR-125b-5p	Homo sapiens	ABTB1	80325	Homo sapiens	Luciferase reporter assay	Functional MTI	22689670				
MIRT437469	hsa-miR-9-5p	Homo sapiens	ACAT1	38	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24028971				
